plateifu,mangaid,dr7objid,ra,dec
8611-3701,1-25676,587725576962310209,261.84122,59.643806
8624-6102,1-25722,587725576962703587,262.39597,58.761333
7990-12704,1-25554,587725576962834606,262.48605,58.39742
8626-12702,1-634795,587725576963555379,263.20538,56.901287
8626-6104,1-24416,587725576963555570,263.03317,56.87875
7990-12701,1-24414,587725576963555611,263.15015,56.845276
8626-12705,1-24251,587725576964210720,263.92084,55.47126
8611-12701,1-23687,587725577498984562,262.25742,60.089394
8624-9101,1-25718,587725577499246871,262.53522,59.53182
8624-12705,1-25729,587725577499246923,262.88696,59.518654
8624-6104,1-634806,587725578036445267,263.6909,58.937557
7990-12705,1-24476,587725578037231676,264.68024,57.23921
7990-1902,1-634828,587725578037231889,264.5225,57.11818
8626-3703,1-24440,587725578037362875,264.66257,56.82429
8626-1902,1-24246,587725578037493906,264.8408,56.567085
7991-12704,1-24368,587725588774519093,261.3211,56.951893
7990-3702,1-24390,587725589311389977,262.10004,57.002106
7990-3704,1-24394,587725589311521045,262.07492,56.77478
8611-6103,1-23786,587725589845967038,259.79587,62.148506
8611-6104,1-23818,587725589846491381,260.4708,60.965347
8611-1901,1-23731,587725589846687893,260.7467,60.559307
8611-12704,1-23745,587725589846753397,260.7056,60.44487
8624-1902,1-25663,587725589847212045,261.4746,59.52564
8624-6103,1-25707,587725589847539990,261.95404,58.698326
8624-3704,1-25566,587725589847671107,261.9803,58.39889
8626-1901,1-24380,587725589847998684,262.2655,57.76929
8626-3704,1-24418,587725589848457330,262.8658,56.73952
8626-6102,1-24279,587725589848719630,263.17313,56.11703
8611-6101,1-25680,587725590383820943,261.96887,60.09728
8624-12704,1-25682,587725590383820980,261.96017,60.08034
8611-12705,1-25683,587725590384017647,261.979,59.72109
8626-12701,1-24425,587725590385328252,263.52527,56.79963
8611-12703,1-634763,587725590919839865,261.55725,62.149494
8624-3702,1-23670,587725590920822897,263.0508,59.94153
8611-3704,1-25725,587725590920823054,262.99673,59.97165
8624-1901,1-23665,587725590920888382,263.0604,59.870872
7990-12703,1-25517,587725590921609486,263.6354,58.230164
8624-3703,1-23679,587725591457628395,263.71814,60.24389
8624-9102,1-25740,587725591457759368,263.89255,59.88995
8624-12703,1-25746,587725591458087151,264.2396,59.200302
8626-12703,1-24482,587725591459201335,265.10886,56.701267
8713-12702,1-43139,587725773456540047,116.519165,39.8865
8143-12702,1-43823,587725773457981716,118.90671,42.751217
8718-9101,1-44634,587725773459554573,121.76274,45.676395
8718-1901,1-45108,587725773459685454,121.96463,45.918213
8135-12704,1-43506,587725773992427843,114.75305,38.127747
8135-3703,1-43512,587725773993017703,115.56504,39.33458
8713-9101,1-43349,587725773993476403,116.38843,40.190105
8140-1902,1-43663,587725773994393887,117.766,41.973465
8140-12704,1-43651,587725773994524861,117.92373,42.303574
8141-1902,1-44526,587725773994983603,118.7133,43.18265
8141-9102,1-44083,587725773995507930,119.6115,44.046246
8718-3701,1-44113,587725773995835599,120.20635,44.691177
8718-3704,1-44091,587725773995835639,120.21142,44.752274
8718-6102,1-44361,587725773995901157,120.35179,44.876045
8719-12705,1-44637,587725773996622063,121.56671,46.28864
8719-9102,1-44693,587725773996753095,121.74481,46.56297
8135-12701,1-604761,587725774528643442,113.472244,37.025917
8566-6104,1-43374,587725774530740333,116.49472,41.119377
8566-12703,1-43361,587725774530740521,116.46603,41.075684
8140-1901,1-43679,587725774530871623,116.729195,41.44491
8140-12703,1-43783,587725774531657955,117.89845,42.880104
8141-12705,1-44117,587725774532247753,118.86381,44.029343
8141-3704,1-44141,587725774532378855,119.05712,44.386135
8718-3702,1-44726,587725774533296253,120.71502,46.157024
8719-3704,1-44700,587725774533624013,121.40794,46.70741
8719-6102,1-44707,587725774533689553,121.35289,46.935677
8566-12702,1-43285,587725775066956195,114.9983,40.14767
8566-12704,1-43311,587725775067414589,115.669914,40.929447
8140-9102,1-43687,587725775068070062,116.74257,42.320965
8714-12705,1-44763,587725775070036188,120.05893,46.042583
8714-1902,1-44767,587725775070101707,120.07724,46.186756
8720-6104,1-45268,587725775071477945,122.67731,48.91874
8135-12702,1-43012,587725775602843958,112.93354,38.336555
8135-12703,1-43009,587725775603237135,113.55387,39.07681
8135-3702,1-43229,587725775603630440,114.084724,39.87999
8566-3703,1-43272,587725775603761469,114.47857,40.149643
8137-6103,1-43718,587725775605334167,116.7826,43.31405
8137-3701,1-43723,587725775605334211,116.70357,43.374832
8137-6104,1-43721,587725775605399897,116.96754,43.38349
8137-9102,1-43724,587725775605465446,117.03861,43.590675
8137-1902,1-43717,587725775605596502,117.09382,43.78047
8141-12702,1-43733,587725775605596552,117.23977,43.786575
8141-6103,1-43741,587725775605727276,117.30366,44.065018
8719-12703,1-44789,587725775607693678,120.89035,47.892384
8553-12702,1-90190,587725816424235059,233.50955,56.685707
8553-6102,1-90192,587725816424366123,233.7126,56.45108
8553-12701,1-90986,587725816424431810,234.03279,56.365326
8553-12705,1-90901,587725816424956108,235.46379,55.46776
10001-6101,1-55683,587725816940200049,137.04109,57.423603
8553-9101,1-91016,587725816961368200,234.81102,56.67086
8553-3704,1-91019,587725816961499158,234.97034,56.36834
8481-12702,1-91678,587725816962285728,237.30486,55.08885
8553-12704,1-90244,587725817497845955,234.29292,57.576252
8481-3704,1-91550,587725817500074053,240.1867,53.775536
8553-6104,1-90213,587725818034782339,234.9609,57.821247
8481-12703,1-90849,587725818035699993,237.58275,56.13198
8481-12704,1-91760,587725818036551896,239.9891,54.81995
8481-3703,1-91747,587725818572832960,238.9451,56.125546
8243-6102,1-47732,587725979616018559,130.24174,52.837246
8724-6101,1-47244,587725979616346247,131.11304,53.487797
8724-3701,1-47272,587725979616608388,131.79318,53.8306
8243-6104,1-47248,587725979616608450,131.88383,53.905243
8721-12703,1-48805,587725979617919091,135.42073,56.105038
10001-6104,1-55529,587725979618377874,136.6237,56.796394
8724-12704,1-47474,587725980153610379,131.49776,54.443333
10001-12703,1-55648,587725980155183238,136.01721,57.092308
10001-12705,1-55784,587725980155445406,136.75139,57.45143
8724-1901,1-47463,587725980690612276,131.28772,54.97825
8724-3703,1-48067,587725980690677919,131.49115,55.136047
8721-6103,1-55572,587725980691267704,133.1213,56.112686
10001-3704,1-48223,587725980691857485,134.91043,56.878887
8243-3701,1-46757,587725981226369145,128.16438,53.233242
8243-12703,1-46825,587725981226827798,129.13794,54.041454
8724-6103,1-47432,587725981227155657,130.05803,54.698174
10001-3702,1-48136,587725981765337103,132.91277,57.107414
10001-12702,1-48188,587725981765533774,133.68565,57.48025
10001-9101,1-48189,587725981765599336,133.87822,57.564575
10001-12704,1-55616,587725981765664905,133.98991,57.678005
8484-1902,1-94066,587725992500199478,248.6917,45.324318
9026-6102,1-94746,587725992500855048,249.85657,44.06547
8483-6101,1-93557,587725993035694117,246.4569,48.100418
8484-12704,1-94139,587725993037005087,249.06206,45.629044
8612-12703,1-96077,587725993040085234,254.01465,39.645523
8612-6101,1-95982,587725993040478409,254.82896,38.8663
8612-12705,1-95842,587725993040740662,255.1015,38.351704
8483-6104,1-93471,587725993572892830,247.69498,47.794777
9026-12705,1-94696,587725993574924431,251.45848,43.866474
8483-6103,1-93705,587725994109174086,247.1797,49.06108
8483-12705,1-93466,587725994109567231,247.74214,48.28027
8483-9102,1-93455,587725994646503647,248.39775,48.379868
9512-12701,1-53870,587726031693349056,138.0683,0.93230885
9512-12703,1-53954,587726031694200858,140.00905,1.0382946
9512-1902,1-54001,587726032230875262,139.64139,1.3437594
9512-3703,1-53968,587726032231202828,140.29294,1.4727243
8139-12704,1-604797,587727865641959815,115.04285,32.20643
8977-6103,1-604824,587727865643073835,116.753944,34.300304
8717-1901,1-71481,587727865643401577,117.45599,34.883923
8717-6103,1-121737,587727865643991294,118.29131,35.932537
8717-12704,1-604883,587727865644253237,118.75221,36.46315
9181-6102,1-71790,587727865644777796,119.7048,37.405445
9485-12701,1-71869,587727865644777835,119.65712,37.48309
9181-1901,1-121803,587727865644908796,119.71282,37.69676
9485-12704,1-122054,587727865644974417,119.8826,37.881157
9485-6103,1-71811,587727865645039682,120.13264,37.862865
9182-3704,1-72166,587727865645826164,121.5296,39.342434
9486-1901,1-122333,587727865646153960,122.1269,39.893074
9183-1901,1-72155,587727865646153990,122.15541,39.904053
9486-12704,1-72393,587727865646415929,122.480385,40.46777
9486-6103,1-122329,587727865646416144,122.615486,40.430637
9486-3703,1-72193,587727866183090213,121.80785,40.24963
9181-3702,1-71736,587727866718388282,118.44952,37.702515
9181-3703,1-584664,587727866718453842,118.56147,37.84578
9183-6104,1-72070,587727866719371613,120.25425,39.5697
9183-12703,1-72242,587727866719568186,120.75248,39.86907
9182-3702,1-72231,587727866719699087,120.782684,40.22636
9486-6101,1-72210,587727866719764610,121.07628,40.195732
9182-6104,1-72350,587727866719961162,121.28714,40.59156
8139-12702,1-71137,587727867252244680,113.50179,32.212296
8139-6103,1-71167,587727867252703734,114.19003,33.122753
8139-3702,1-604791,587727867253162550,114.758026,33.916283
9182-9101,1-72275,587727867256438956,120.176765,40.027313
8713-3704,1-71956,587727867792523610,118.441666,38.869045
9182-6102,1-71987,587727867793113425,119.486336,39.99337
9512-6102,1-53916,587727942955565267,139.35744,1.2883328
9512-12702,1-54008,587727942955696366,139.74081,1.1489271
9512-6103,1-53987,587727942955761929,139.92558,1.325832
9512-6104,1-53985,587727942955827473,140.06505,1.2888237
9512-3702,1-53753,587727944028651618,137.82883,2.019008
8725-1902,1-72913,587728664506794118,127.489365,44.940132
8725-6104,1-73184,587728665043861699,127.52815,45.35178
8725-9102,1-574519,587728665580732658,127.17805,45.742588
8725-1901,1-73042,587728666117341359,126.143745,45.47983
8725-12702,1-73002,587728666654081145,125.4281,45.553276
8725-12701,1-73005,587728666654081277,125.40231,45.58549
8725-3703,1-73009,587728666654277742,125.82094,45.89687
9181-3701,1-121784,587728668266725680,119.667915,37.265133
9486-3704,1-72128,587728668268101853,122.05202,39.660393
8139-3701,1-71113,587728668800385266,114.18116,31.476511
8139-9102,1-71108,587728668800712732,114.756035,31.91471
8139-6101,1-121209,587728668800843978,115.00594,32.194588
8139-3704,1-71090,587728668800974876,115.12867,32.440712
8139-6102,1-71225,587728668801106153,115.36264,32.779316
8977-12701,1-71281,587728668801761652,116.331085,33.942295
8977-3702,1-71269,587728668801761795,116.42856,34.00775
8717-9101,1-71525,587728668803006540,118.34483,36.27438
9485-9101,1-71516,587728668803400016,119.107346,37.05825
9181-12702,1-71872,587728668803793002,119.61713,37.786617
9182-1902,1-71820,587728668804317588,120.64757,38.74115
9486-3702,1-72169,587728668805103822,121.9553,40.09991
8725-6101,1-72928,587728668807856305,127.25651,45.016766
8725-12705,1-72914,587728668807921722,127.5808,45.075874
9181-9101,1-71763,587728669340533025,118.93815,37.821632
9182-12701,1-71891,587728669340926207,119.55331,38.5353
9182-1901,1-72056,587728669341188155,120.01569,38.990955
9182-6101,1-72087,587728669341319416,120.321266,39.216812
9183-3702,1-72211,587728669341712665,121.10563,39.930626
9182-12705,1-72209,587728669341712683,121.13188,39.938602
9486-12702,1-72207,587728669341843479,121.12959,40.206036
9182-3703,1-72199,587728669341843556,121.27241,40.174564
9182-9102,1-72203,587728669341843593,121.35764,40.17834
9486-9102,1-72382,587728669342302396,122.20802,41.010624
8139-1901,1-71180,587728669875110220,114.88228,33.67936
8717-3702,1-71488,587728669876355363,116.67872,36.07334
8717-12701,1-604835,587728669876552100,117.215164,36.39037
9181-12701,1-71950,587728669877469526,118.570946,38.22088
9182-3701,1-604915,587728669878386720,120.13811,39.840027
9182-6103,1-72325,587728669878714389,120.70479,40.45738
8143-6101,1-72322,587728669878845816,121.01417,40.802597
8143-12705,1-72339,587728669879107805,121.48999,41.14811
9181-12704,1-71953,587728670414471408,118.38202,38.733303
8713-12705,1-71939,587728670414536931,118.59874,38.67056
8713-9102,1-71974,587728670414733470,118.85538,39.186077
9182-12704,1-72289,587728670415389049,120.03901,40.424156
8725-6102,1-73001,587728670418272268,125.45905,45.51964
8725-6103,1-73028,587728670418272398,125.73616,45.48594
8725-3704,1-73029,587728670418337966,125.724144,45.718765
8725-12703,1-73241,587728670419189989,127.64815,47.09443
8144-9101,1-120941,587728905023652104,114.61023,28.963083
8144-12703,1-120935,587728905023783343,114.77504,29.16006
8977-1902,1-121334,587728905026273588,118.81303,33.64216
9485-1902,1-121607,587728905027452934,120.7115,35.77353
9485-6102,1-121947,587728905027780829,121.406525,36.39829
9183-12701,1-121911,587728905028239428,122.144875,37.174976
8144-3702,1-121075,587728905560916106,114.69539,29.891258
8977-6101,1-121277,587728905562292563,116.940636,32.432228
8717-9102,1-121598,587728905563603008,119.11753,34.752502
9485-6101,1-121851,587728905564389704,120.4476,36.22604
9485-12703,1-121936,587728905565241566,122.043465,37.76293
8139-12701,1-121151,587728906098508055,115.479904,31.411484
8936-3702,1-121235,587728906098966934,116.36043,32.268135
8139-6104,1-121236,587728906098966955,116.374115,32.293755
8717-1902,1-121532,587728906100080960,118.0911,34.326546
8717-6101,1-121697,587728906100736276,119.1878,35.504185
9485-1901,1-122002,587728906101588113,120.778015,37.023567
9485-6104,1-121973,587728906101915737,121.272995,37.625595
8144-1901,1-121035,587728906634461377,113.67845,30.01888
8139-1902,1-121202,587728906635116878,114.63695,31.178102
8139-3703,1-121218,587728906635968910,116.08303,32.81063
8717-3704,1-121486,587728906636886170,117.51832,34.47932
9183-9101,1-122094,587728906638983518,121.24403,38.267727
9183-3703,1-122304,587728906639376538,121.92079,39.00424
9183-6101,1-122284,587728906639442006,122.08449,39.023617
9181-1902,1-122057,587728907175854359,120.87297,38.442287
9486-6104,1-122334,587728907176640793,122.38428,39.887936
9485-12702,1-121612,587728930262417640,121.146286,35.997772
8144-12702,1-120955,587728930795159822,114.16248,28.52674
8144-6102,1-120943,587728930795487599,114.635506,29.18552
8977-12702,1-121330,587728930797781264,118.134895,33.48166
9485-3703,1-121871,587728930799288692,120.766655,36.264503
9183-3704,1-122141,587728930800271691,122.527405,38.017086
8144-12704,1-120967,587728931332292759,114.17711,29.30491
8139-12705,1-604821,587728931333799975,116.43111,32.10297
8977-3701,1-121375,587728931334717446,117.92446,33.752907
9183-12702,1-604992,587728931336683876,121.31154,37.472557
8977-1901,1-121387,587728931871457416,117.36261,33.835426
8977-12703,1-121523,587728931871850899,118.08298,34.57496
8717-6102,1-121717,587728931872375159,118.803406,35.596786
9485-9102,1-121994,587728931873620268,121.08065,37.709385
9183-1902,1-121992,587728931873685689,121.08461,37.840355
9183-9102,1-122119,587728931874078963,121.883514,38.54999
9183-6102,1-122151,587728931874275354,122.135216,38.90533
8139-9101,1-121206,587728932406821245,114.50068,31.249279
8717-12702,1-121747,587728932409049377,118.17369,35.320946
8717-3703,1-121735,587728932409180188,118.318016,35.572598
9485-3701,1-121789,587728932409835823,119.53199,36.83127
9181-9102,1-122044,587728932410097936,119.811516,37.327717
9485-3702,1-121837,587728932410229047,120.075615,37.609234
9181-6104,1-122067,587728932410556768,120.89584,38.132305
9183-12704,1-122059,587728932410753305,121.00758,38.4882
9486-12701,1-122088,587728932411080803,121.67825,39.090214
9486-6102,1-122361,587728932411474038,122.38062,39.801857
9486-1902,1-122586,587728932411867382,123.17296,40.414577
9486-12705,1-122412,587728932411867452,123.30131,40.419548
8553-6101,1-90176,587729226613194903,233.35226,56.60876
8553-3701,1-90984,587729227150000242,233.49153,56.847343
8481-9102,1-90785,587729227151048918,236.53336,55.168674
8481-6103,1-633356,587729227151704160,238.2861,54.147274
8481-6101,1-91652,587729227151900859,238.82057,53.807446
8482-12704,1-92866,587729227153866912,243.58177,50.465622
8482-12702,1-542351,587729227154260098,244.4602,49.746723
8553-9102,1-90231,587729228223741986,234.54185,57.60364
8481-3702,1-91582,587729228225445952,239.33913,54.671097
8481-6102,1-91580,587729228225511468,239.55418,54.61558
8482-3703,1-542327,587729228228067420,245.52464,50.016846
8553-3703,1-91010,587729228760875104,235.80357,57.41118
8481-12705,1-91762,587729228762448063,240.2469,54.730827
8483-12703,1-542318,587729231440117965,245.24829,49.001785
8484-12705,1-94169,587729231441428684,247.7258,46.59019
8484-6102,1-94168,587729231441559560,247.85645,46.324123
9026-6103,1-94785,587729231442346205,249.39093,44.870743
9026-9102,1-94720,587729231443132716,250.86362,43.353165
8978-6104,1-94604,587729231443460278,251.3359,42.75778
8612-12702,1-96075,587729231445164451,253.94637,39.310524
8606-12701,1-95585,587729231445885330,255.02989,37.839508
8482-3704,1-93612,587729231976857736,245.41237,49.448856
8482-12703,1-93640,587729231976857898,245.50307,49.520794
8483-1901,1-93551,587729231977251108,246.31107,48.72134
8483-3704,1-93503,587729231977840877,247.39174,47.70302
8484-6104,1-94136,587729231978496294,248.73701,46.446945
